SKU,CSV_Name,DB_Name,Old_Price,New_Price
SP25FH32P-AK,Quần Short Nam Năng Động SP25FH32P-AK,Quần Short Nam Năng Động SP25FH32P-AK,500000.0,600000.0
SP25SS18C-AK,Quần Short Nam Form Trên Gối SP25SS18C-AK,Quần Short Nam Form Trên Gối SP25SS18C-AK,500000.0,600000.0
SP25SS19C-NM,Quần Short Nam Form Vừa SP25SS19C-NM,Quần Short Nam Form Vừa SP25SS19C-NM,500000.0,600000.0
DP25ES01P-NMSC,Quần Tây Nam Form Ôm Vừa DP25ES01P-NMSC,Quần Tây Nam Form Ôm Vừa DP25ES01P-NMSC,500000.0,800000.0
DP25FH09P-NMSC,Quần Tây Nam Form Vừa DP25FH09P-NMSC,Quần Tây Nam Form Vừa DP25FH09P-NMSC,500000.0,800000.0
DP25FH10C-NMRG,Quần Tây Nam Form Vừa DP25FH10C-NMRG,Quần Tây Nam Form Vừa DP25FH10C-NMRG,500000.0,850000.0
FWDP25FH08C,Quần Tây Nữ Màu Nâu – FWDP25FH08C,Quần Tây Nữ Màu Nâu – FWDP25FH08C,500000.0,449000.0
FWDP25FH09C,Quần Tây Lửng Màu Beige FWDP25FH09C,Quần Tây Lửng Màu Beige FWDP25FH09C,500000.0,429000.0
FWDP25SS01C,Quần Tây Nữ Xám Ống Rộng FWDP25SS01C,Quần Tây Nữ Xám Ống Rộng FWDP25SS01C,500000.0,599000.0
FWDP25SS07C,Quần Tây Nữ Form Ôm FWDP25SS07C,Quần Tây Nữ Form Ôm FWDP25SS07C,500000.0,499000.0
SP25SS13T-AK,Quần Short Nam Năng Động SP25SS13T-AK,Quần Short Nam Năng Động SP25SS13T-AK,500000.0,490000.0
BE25FH45-HL,Thắt Lưng Nam Đầu Kim BE25FH45-HL,Thắt Lưng Nam Đầu Kim BE25FH45-HL,500000.0,600000.0
BE25FH46-EP,Thắt Lưng Nam Đầu Tăng Đơ BE25FH46-EP,Thắt Lưng Nam Đầu Tăng Đơ BE25FH46-EP,500000.0,600000.0
BE25FH48-EP,Thắt Lưng Nam Đầu Tăng Đơ BE25FH48-EP,Thắt Lưng Nam Đầu Tăng Đơ BE25FH48-EP,500000.0,600000.0
BE25FH49-EP,Thắt Lưng Nam Đầu Tăng Đơ BE25FH49-EP,Thắt Lưng Nam Đầu Tăng Đơ BE25FH49-EP,500000.0,600000.0
BE25FH50-EP,Thắt Lưng Nam Đầu Tăng Đơ BE25FH50-EP,Thắt Lưng Nam Đầu Tăng Đơ BE25FH50-EP,500000.0,600000.0
WT25FH08-HZ,Ví Da Nam Dáng Ngang WT25FH08-HZ,Ví Da Nam Dáng Ngang WT25FH08-HZ,500000.0,400000.0
WT25SS06-HZ,Ví Da Nam Dáng Ngang WT25SS06-HZ,Ví Da Nam Dáng Ngang WT25SS06-HZ,500000.0,400000.0
WT25SS07-VE,Ví Nam Dáng Dọc WT25SS07-VE,Ví Nam Dáng Dọc WT25SS07-VE,500000.0,400000.0
WS24SS16P-LCRG,Áo Sơ Mi Denim Thời Trang WS24SS16P-LCRG,Áo Sơ Mi Denim Thời Trang WS24SS16P-LCRG,500000.0,900000.0
WT25SS01-HZ,Ví Da Dáng Ngang WT25SS01-HZ,Ví Da Dáng Ngang WT25SS01-HZ,500000.0,400000.0
WT25SS02-VE,Ví Da Nam Dáng Dọc WT25SS02-VE,Ví Da Nam Dáng Dọc WT25SS02-VE,500000.0,400000.0
WT25SS04-HZ,Ví Da Dáng Ngang WT25SS04-HZ,Ví Da Dáng Ngang WT25SS04-HZ,500000.0,400000.0
WT25SS05-HZ,Ví Da Dáng Ngang WT25SS05-HZ,Ví Da Dáng Ngang WT25SS05-HZ,500000.0,400000.0
