SKU,Name,Price,category,brand,StockQuantity,InStock,IsFeatured,IsActive,Rating,ReviewCount,CreatedAt
WS25SS23T-LC,Áo Sơ Mi Nam Tay Dài Form Ôm WS25SS23T-LC,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.219835+07
WS25SS22C-LDBB,Áo Sơ Mi Tay Dài WS25SS22C-LDBB,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.219146+07
WS25SS21P-LC,Áo Sơ Mi Tay Dài Form Vừa WS25SS21P-LC,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.218434+07
WS25SS20P-LC,Áo Sơ Mi Nam Tay Dài Form Ôm WS25SS20P-LC,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.217736+07
WS25SS19C-SDBB,Áo Sơ Mi Nam Form Ôm Tay Ngắn WS25SS19C-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.217098+07
WS25SS18C-LD,Áo Sơ Mi Tay Dài Form Ôm WS25SS18C-LD,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.216473+07
WS25SS17C-SD,Áo Sơ Mi Tay Ngắn Form Ôm WS25SS17C-SD,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.215834+07
WS25SS16C-SDFS,Áo Sơ Mi Nam Tay Ngắn Form Ôm WS25SS16C-SDFS,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.215179+07
WS25SS15P-SDFSBB,Áo Sơ Mi Form Vừa Tay Ngắn WS25SS15P-SDFSBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.21441+07
WS25SS14P-LDFSBB,Áo Sơ Mi Nam Tay Dài Form Ôm WS25SS14P-LDFSBB,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.213641+07
WS25SS12P-LDBB,Áo Sơ Mi Caro Tay Dài WS25SS12P-LDBB,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.212928+07
WS25SS10T-LC,Áo Sơ Mi Nam Tay Dài Form Ôm WS25SS10T-LC,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.212237+07
